"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"137",2016-06-01,"連江縣",1847634,0.3573,2793430,0.5402,14088,0.0027,515522,0.0997,5170674,3e-04,5171103.2950759,1847635.20733062,13961.9788967049,515558.998519067
"138",2016-06-01,"合計",3810141085,0.216,4239955462,0.2404,261379604,0.0148,9327549267,0.5288,17639025418,1,17637085948.4193,3809610564.85857,261028872.036606,9326491049.52413
"139",2016-07-01,"新北市",818408898,0.4164,662198909,0.3369,2002492,0.001,482784930,0.2456,1965395229,0.1022,1965565179.57851,818461340.776492,1965565.17957851,482742808.104482
"140",2016-07-01,"台北市",552658231,0.3494,985942002,0.6233,1902032,0.0012,41207027,0.0261,1581709292,0.0823,1581809725.65378,552684318.14343,1898171.67078453,41285233.8395636
"141",2016-07-01,"桃園市",380289245,0.1523,426585548,0.1708,3151890,0.0013,1687585692,0.6757,2497612375,0.1299,2497573466.04215,380380438.87822,3246845.5058548,1687610391.00468
"142",2016-07-01,"台中市",560046717,0.2272,611676394,0.2481,15848092,0.0064,1277664110,0.5183,2465235313,0.1282,2465442942.36195,560148636.504635,15778834.8311165,1277839077.0262
"143",2016-07-01,"台南市",371351596,0.155,301903388,0.126,37190593,0.0155,1685521521,0.7035,2395967098,0.1246,2396058634.92063,371389088.412698,37138908.8412698,1685627249.66667
"144",2016-07-01,"高雄市",637747495,0.2467,530151864,0.2051,21121443,0.0082,1396344252,0.5401,2585365054,0.1344,2584845753.29108,637681447.336909,21195735.1769868,1396075191.35251
"145",2016-07-01,"宜蘭縣",81325595,0.267,75391443,0.2475,7541946,0.0248,140338492,0.4607,304597476,0.0158,304611890.909091,81331374.8727273,7554374.89454545,140334698.141818
"146",2016-07-01,"新竹縣",101211165,0.1207,86054747,0.1026,2096961,0.0025,649090920,0.7742,838453793,0.0436,838740224.17154,101235945.057505,2096850.56042885,649352681.553606
"147",2016-07-01,"苗栗縣",106223358,0.1627,75713098,0.116,2894492,0.0044,467900817,0.7168,652731765,0.0339,652699120.689655,106194146.936207,2871876.13103448,467854729.710345
