"","date","city","house","agri","industry","Total"
"244",2016-12-01,"台北市",395999452.69716,1552002.67864428,35457291.9659501,1193848214.34175
"245",2016-12-01,"台東縣",31476015.5899458,2232652.00985707,9645640.38245441,72962483.9822573
"246",2016-12-01,"台南市",292788004.516667,30371293.0058333,1599627597.81083,2184985108.33333
"247",2016-12-01,"宜蘭縣",64481438.5329619,4659373.05013928,140959423.769731,267780060.352832
"248",2016-12-01,"花蓮縣",50037249.6232749,2669481.05930623,98729411.8910854,206936516.225289
"249",2016-12-01,"金門縣",7737449.04315961,215974.890065147,2128046.16449511,19814210.0977199
"250",2016-12-01,"南投縣",74970963.3307985,8971700.25855513,98187623.8403042,238609049.429658
"251",2016-12-01,"屏東縣",118597762.842577,58269951.0587276,95636369.4885807,361028197.389886
"252",2016-12-01,"苗栗縣",67325187.597723,1860746.39089184,435245496.705882,563862542.694497
"253",2016-12-01,"桃園市",353183635.37859,2517835.37859008,1582802876.63185,2288941253.26371
"254",2016-12-01,"高雄市",386733742.641509,19449767.1737835,1400157076.429,2261600834.16087
"255",2016-12-01,"基隆市",56346463.8749316,11625.0183360701,17425902.485769,116250183.360701
"256",2016-12-01,"連江縣",1794835.35655961,18524.1027036835,434064.784975504,5006514.24423879
"257",2016-12-01,"雲林縣",95155670.4854112,28511392.9190981,251085625.877321,441352831.564987
"258",2016-12-01,"新北市",605381681.342065,1712316.40389887,438508664.525739,1556651276.2717
"259",2016-12-01,"新竹市",67769915.2689211,648515.935587762,641544389.280193,810644919.484702
"260",2016-12-01,"新竹縣",89761311.8534653,1466435.87722772,602550783.869307,771808356.435644
"261",2016-12-01,"嘉義市",40435929.3564211,495921.005052632,7282691.79642105,91837223.1578947
"262",2016-12-01,"嘉義縣",63251879.9209139,18348187.6063269,77280426.9472759,205697170.474517
"263",2016-12-01,"彰化縣",178031500.573499,34592970.6708075,492163628.180124,873559865.424431
"264",2016-12-01,"澎湖縣",12632107.4274363,417614.130638,3427315.96868427,28800974.5267586
"265",2017-01-01,"台中市",393171900.854122,11965188.6538628,1207644391.67846,2099155904.18645
"266",2017-01-01,"台北市",364625860.050963,1458054.80795525,33647418.6451212,1121580621.50404
"267",2017-01-01,"台東縣",26613090.3710986,2054663.21946424,9896194.36716638,65020987.9577292
"268",2017-01-01,"台南市",255272611.934075,26902265.8946918,1477831139.81507,1992760436.64384
"269",2017-01-01,"宜蘭縣",59894278.1968107,4405064.75157365,121078437.23248,243373743.180864
"270",2017-01-01,"花蓮縣",42313127.5728953,2176414.6201232,83882646.8172485,181367885.010267
"271",2017-01-01,"金門縣",8644188.82579045,202856.921678033,1838132.1066336,20699685.8855135
"272",2017-01-01,"南投縣",56836482.8350764,8278703.38213998,84418893.6226871,199007292.839903
"273",2017-01-01,"屏東縣",118917110.182752,56898796.4353183,84111264.2956879,343591765.913758
"274",2017-01-01,"苗栗縣",69760008.5155963,1719815.31009174,407381251.577982,537442284.40367
"275",2017-01-01,"桃園市",279208054.105429,2236918.13194444,1430000754.89394,2033561938.13131
"276",2017-01-01,"高雄市",425947123.282079,18643411.6781548,1335306944.66596,2193342550.37116
"277",2017-01-01,"基隆市",44281864.2941919,10052.6366161616,16426008.2308081,100526366.161616
"278",2017-01-01,"連江縣",2957210.90884248,31143.4370486043,463612.528791724,7078053.8746828
"279",2017-01-01,"雲林縣",88113303.6603279,25886855.6629508,232042587.90623,408310026.229508
"280",2017-01-01,"新北市",548491516.570613,1593609.79457917,391013894.142653,1448736176.89016
"281",2017-01-01,"新竹市",66917129.7936787,629068.200175593,629225467.225636,786335250.219491
"282",2017-01-01,"新竹縣",72433635.7894737,1420267.36842105,568888094.421053,710133684.210526
"283",2017-01-01,"嘉義市",35642703.6964286,434259.74512987,6280064.00649351,83511489.4480519
